date,close,volume,open,high,low
1/31/2019,166.44,40613260,166.11,169,164.56
1/30/2019,165.25,60800480,163.25,166.15,160.23
1/29/2019,154.68,39914850,156.25,158.13,154.11
1/28/2019,156.3,26147280,155.79,156.33,153.66
1/25/2019,157.76,33508960,155.48,158.13,154.32
1/24/2019,152.7,25418110,154.11,154.48,151.74
1/23/2019,153.92,23046560,154.15,155.14,151.7
1/22/2019,153.3,30273990,156.41,156.73,152.62
1/18/2019,156.82,33259460,157.5,157.88,155.9806
1/17/2019,155.86,29616190,154.2,157.66,153.26
1/16/2019,154.94,30483120,153.08,155.88,153
1/15/2019,153.07,28449940,150.27,153.39,150.05
1/14/2019,150,32018540,150.85,151.27,149.22
1/11/2019,152.29,26924630,152.88,153.7,151.51
1/10/2019,153.8,35661200,152.5,153.97,150.86
1/09/2019,153.31,45034370,151.29,154.53,149.63
1/08/2019,150.75,40622910,149.56,151.82,148.52
1/07/2019,147.93,54571440,148.7,148.83,145.9
1/04/2019,148.26,57423650,144.53,148.5499,143.8
1/03/2019,142.19,91106840,143.98,145.72,142
1/02/2019,157.92,35637070,154.89,158.85,154.23
